id,judul,penulis,kategori,stok
UBP001,seni dalam berperang,Sun Tzu,nonfiksi,1
UBP001,sisi tergelap surga,Brian Khrisna,fiksi,3
UBP002,MADILOG,Tan Malaka,non-fiksi,2
UBP003,ANIMAL FARM,George Orwell,fiksi,4
UBP004,SENI DALAM BERPERANG,Sun Tzu,fiksi,5
UBP005,PERGI,Tere Liye,fiksi,3
UBP006,PULANG,Tere Liye,fiksi,1
UBP007,HOW TO FIGHT,Taejun Pak,Komik,3
UBP008,SPIRIT FINGER,Han Kyeong-chal,Komik,3
UBP009,SWEET HOME,Kim Carnby,komik,1
UBP0010,TEACH YOU A LESSON,Chae Yongtaek,komik,5
UBP0011,MAKANNYA MIKIR,Cania & Abigail,non-fiksi,5
UBP0012	,PRINSIP DASAR EKONOMI,Ferry Irwandi,non-fiksi,4
UBP0013,ATOMIC HABITS,James Clear,non-fiksi,6
UBP0014,TEH PSYHCOLOGY OF MONEY,Morgan Housel,non-fiksi,6
UBP0015,THE LET THEM THEORY,Mel Robbins,non-fiksi,3
